W1	C1	P1	W2	C2	P2	R	POS
carril	O servizo de urxencias indicou que o desprendemento de terra tivo lugar en unha zona de obras, no único carril habilitado.	19	carril	O comboio ou seu equivalente circula numa via férrea composta por carris dispostos ao longo dum percurso determinado.	11	0	N
cativo	Algúns destes humidais ocupan varias hectáreas e outros son cativiños de todo, algúns están permanentemente anegados e outros nada máis que son apozamentos invernais.	9	cativo	Seus hábitos alimentares devem ter sido versáteis, uma vez que provavelmente foram dadas a espécimes cativos uma grande variedade de comida em as longas viagens por o mar.	15	0	N/A
cea	Outras alternativas moito máis válidas serán os agasallos non materiais como unha cea romántica, un paseo nun lugar bonito, ou escribir un lindo poema.	12	ceia	Nas noites, ela participava de bailes de máscaras, mesas de jogos e festas de ceia muitas vezes acompanhada, enquanto o rei dormia cansado.	14	0	N
chá	A vila é chá, distinguíndose nel a parte antiga da moderna co novo poboado.	3	chá	O tatame está associado a rituais religiosos japoneses e com a cerimônia do chá.	13	0	N/A
coche	Penso que isto vai lles interesar para os seus coches.	9	coche	Perseguido pelos guardas montou num coche que o esperava e se perdeu em meio da multidão.	5	0	N
coller	Asusteime e a miña nai, que estaba a facer un caldo, colleu o garfelo de remexer e matou o corvo.	11	colher	Elas foram gravados ou escritas em utensílios de rituais, jarras, tabuinhas de oferendas, colheres de pedra, copos e xícaras de toda Creta.	13	0	N
columna	Na parte máis baixa da praza consérvanse algunhas casas medievais, apoiadas en columnas, algunha das cales é romana reutilizada.	12	coluna	As colunas de a nave central suportam arcadas que conformam um alçado contínuo.	1	1	N
combinar	Para Liñares, combinar o mundo global con o particular é un de os retos que ten esta prensa escrita.	2	combinar	Suas obras transcendem gêneros ortodoxos, combinando ficção, jornalismo, análise política e História.	5	1	V
comezar	comezar un novo emprego.	0	começar	Na grande maioria dos casos, o processo de iniciação começa executando o núcleo no modo supervisor.	9	1	V
compañía	No fondo, penso que todo está a ser percibido como un embolado máis da compañía.	14	companhia	Recomenda-se que essas trilhas sejam feitas apenas com a companhia de guias e conhecedores dos lugares.	9	0	N
concerto	A xornada concluirá cun concerto de música andalusí no Teatro Reral da cidade marroquí.	4	conserto	Este conserto era realizado na chegada do técnico ao site do cliente, ou após o horário comercial ou durante o intervalo de almoço.	1	0	N
conclusión	Porén, a conclusión foi que non se producira dano material concreto ningún.	2	conclusão	O editor também não ofereceu nenhuma explicação satisfatória para essas diferenças, e aparentemente sequer as percebeu ou não lhes deu importância, quando a prática acadêmica mais recente é comparar todos os textos primitivos disponíveis e chegar a uma conclusão a respeito de qual a fonte mais autêntica.	38	1	N
confiar	Porén Cerezo pensou que iso sería unha deshonra e que ademais deberían confiar as súas vidas a os furiosos atacantes e aos desertores así que optou por continuar coa resistencia.	12	confiar	Eles confiam a sua segurança a um protector contra as tropas de reabastecimento ou de sua casa.	1	1	V
copo	Algúns copos de neve poden caer en raras ocasións na parte superior do Pico Duarte.	1	copo	Para um exemplo mais didático pensemos num copo com água e uma piscina.	7	0	N
corrente	Pero toda esa corrente non se canaliza como se debera.	3	corrente	Com ouro alfinetes, colares, pingentes, diademas, correntes e estatuetas zoomórficas.	6	0	N/A
crianza	Adoita ser típico tamén dos traballadores da crianza de aves.	7	criança	É costume as pessoas visitarem e trazerem uma prenda para a criança.	11	0	N
cumprimento	Calcúlase o número de meses que resta para o cumprimento do contrato temporal, a partir de a data da transformación do contrato temporal en indefinido.	9	cumprimento	A paz romana foi um dos pilares da civilização romana e da sua difusão e implantação no mundo antigo, responsável pela ordem, tranquilidade, cumprimento da lei e, acima de tudo, da obediência e culto ao imperador.	23	1	N
custo	non podía calcular o custo da colección.	4	custo	Com o aperfeiçoamento da tecnologia, os custos do processo têm diminuído.	6	1	N
desagradábel	Cheiro e sabor desagradábeis.	3	desagradável	O suor contém alguns ácidos carboxílicos que apresentam cheiros desagradáveis.	9	1	A
deseñar	Acabar primeiro conas deputacións e logo deseñar unha nova estrutura territorial para Galicia.	6	desenhar	Enfeita-se com canela, desenhando corações, letras ou traços.	3	0	V
dificultade	solucionar as dificultades financeiras.	2	dificuldade	Lutando com dificuldades financeiras	2	1	A
directo	un ataque directo.	2	direto	Um confronto direto na última rodada define o rebaixado.	2	1	A
escola	escola veneciana de pintura.	0	escola	O arquitecto de São João de Tarouca aplicou os preceitos da escola românica cisterciense, de origem borgonhesa.	11	1	N
escritorio	 Xa teño o meu novo escritorio completamente definido, e non me falta xa nada.	5	escritório	Os arranha-céus podem hospedar escritórios comerciais ou residenciais, ou ambos.	4	0	N
estilo	o estilo característico de nova york.	1	estilo	Contos de amor e de batalhas, bem como demônios e fantasmas, refletem o estilo de vida local, bem como suas culturas e crenças.	13	1	N
estufa	O fogar converteuse a partir de aí nunha colonia de cubos, deshumificadores e estufas.	13	estufa	No litoral da região central da província, é possível observar muitas estufas de cultivo de vegetais.	11	0	N
eterno	Aínda que o respecto á morte é eterno, estas preocupacións por esquivar a custe o que custar son inequivocamente modernas.	7	eterno	Deus é contudo eterno, não havendo criador para o mesmo.	3	1	A
experiencia	unha experiencia sorprendente.	1	experiência	Essa experiência dolorosa certamente tem a nossa atenção.	1	1	N
exquisito	Hai xente moi exquisita que non leva ben baixar postos no ránquing.	3	esquisito	Gozadores passaram então a ridicularizá-los, a enviar presentes esquisitos e convites para festas que não existiam.	8	0	A
extremo	O plan é cruzar dous ríos e fuxir polo outro extremo da cidade.	10	extremo	"O povoado começou a desenvolver-se; foi construída uma torre no extremo de a ilha, a Torre de Santo Elmo, com o intuito de defender a nova cidade."	10	1	A
fantasía	Nalgúns casos resulta difícil distinguir entre a realidade e a fantasía.	10	fantasia	"Existe a tradição de vestir-se com fantasias que cobrem o corpo todo, as chamadas ""caretas""."	6	0	N
fase	en que fase están as ciencias sociais ?	2	fase	Em a fase inicial, a doença pode ser corrigida com óculos ou lentes de contacto descartáveis.	2	1	N
forma	Atópase en boa forma e, aínda que non coñece o circuíto, o que para o non é determinante, di que non importa o posto pero que vai a por todas.	3	forma	Tais modificações passadas pelo homem grego acompanhavam as mudanças sofridas pela ginástica, a maneira mais comum e difundida de cultuar a forma física.	21	1	N
formal	son deberes formais.	2	formal	Para um melhor compreensão de o paradoxo mentiroso, é útil escrevê o em uma maneira mais formal.	16	1	N
fronteira	Precísase unha apertura de fronteiras dos países desenvolvidos	4	fronteira	No norte, ao longo da fronteira com os Países Baixos, há também a presença de calvinistas.	5	1	N
gasto	Pode supoñer unha duplicidade no gasto das administracións e ser de maior custo que as alternativas de software libre.	5	gasto	O governo comprometeu-se a conter os gastos deficitários e reduzir o controle sobre o mercado financeiro.	6	1	N
húmido	Pode verse en días húmidos e nubrados, porén, atinxe os niveis máximos de actividade durante a noite.	4	húmido	Graças ao seu clima temperado e húmido, a ilha recebeu bem as mais variadas espécies introduzidas por os povoadores a o longo de os séculos.	6	1	A
humilde	unha humilde petición de desculpas.	1	humilde	Filho dum humilde pastor.	2	1	A
imperdible	Ás veces axúdame levar a túa medalla, a que tiñas sempre na cadea, ou cando non, suxeitabas cun imperdible na combinación ou no camisón.	18	imperdível	Durante a manhã e toda a tarde, um banho geladinho no lago de a princesa é imperdível.	16	0	A
impreciso	o termómetro é impreciso.	3	impreciso	Preferem o vago, o indefinido ou impreciso.	6	1	A
influencia	a influencia da acción mecánica.	1	influência	A influência da ação mecânica	1	1	N
ligar	En Xapón funcionan servizos como xogos ou ligar cos móbiles, algo que aquí non se entende.	7	ligar	Historicamente, a crença que esses cinco assassinatos foram cometidos pela mesma pessoa provém de documentos contemporâneos que os ligam e excluem os outros homicídios	18	0	V
loxa	Nas súas orixes foi a sede da loxa masónica máis importante da cidade.	7	loja	Chamam atenção atualmente as lojas de tecidos, os restaurantes típicos e as várias malharias de proprietários árabes.	4	0	N
maior	¿Cal foi a súa maior contribución a a política de este país en todo ese tempo ?	4	maior	uma quebra maior com a tradição.	2	1	A
mala	Os lumes son de carácter estratéxico e planificados con moi mala intención.	10	mala	Cada jogador pode escolher seguir o acordo pondo na sua mala o que acordou, ou pode enganar oferecendo uma mala vazia.	11	0	A
mariño	Tamén existe moita variedade de vida mariña no Golfo Pérsico.	6	marinho	Também muito importante para mamíferos marinhos e pássaros como o pelicano-pardo.	5	1	N/A
masa	Como a Igrexa utiliza a un cativo para manipular ás masas.	10	massa	Também é utilizada como fortificante alimentar em alimentos para bebés, cereais de pequeno-almoço, massas, molhos, queijos fundidos, bebidas de fruta, produtos lácteos enriquecidos com vitaminas e algumas bebidas energéticas.	13	0	N
medio	unha laranxa de tamaño medio.	4	médio	Isto aconteceria quando quer indivíduos altos ou baixos têm certa vantagem, mas não os que têm altura média.	17	1	A
mellor	a súa saúde está mellor agora.	4	melhor	Os paraguaios levaram-na melhor nas penalidades e levaram seu terceiro título do torneio.	3	1	A
motorista	O motorista resultou ferido con prognóstico reservado.	1	motorista	O atirador era um motorista de caminhão de leite que atendia a comunidade.	4	0	N
mozo	Agora que a miña moza está sacando o permiso de conducir venme á cabeza este video que leva un tempo circulando por aí.	4	moço	Ricardo notoriamente respondeu afirmando que não mandaria embora nem uma moça de cozinha de seu castelo por causa de um pedido parlamentar.	10	0	N
nacer	Cando naceron o neno e mais a nena as cousas foron a peor e buscou alguén que botase unha man.	1	nascer	Nasceu uma menina, cujo nome se desconhece.	0	1	V
novela	Unha novela sobre a asunción de responsabilidades, propias e colectivas.	1	novela	Quando ela voltou, a novela já estava no ar.	4	0	N
ofender	Non ofende quen quere, senón quen pode e esta señora pode máis ben pouco.	1	ofender	Entretanto, buscou a discrição necessária para não ofender sentimentos do povo do sul.	7	1	V
oficina	As alegacións formularanse durante o prazo sinalado nas mesmas oficinas.	9	oficina	Serve primeiro num navio e depois numa oficina de artilharia.	7	0	N
órgano	Malia ter un só día de idade, sabe falar e tocar o órgano.	12	órgão	Dentro da mesa tem um órgão de tubo de madeira, que toca com a abertura de suas gavetas.	5	1	N
pasta	Adóbanse nunha solución de vinagre e sal e son un ingrediente para pizzas, salmón afumado, ensaladas ou pratos de pasta.	19	pasta	 Parece que as tribos africanas, que conheciam o café desde a Antiguidade, moíam seus grãos e faziam uma pasta utilizada para alimentar os animais e aumentar as forças dis guerreiros.	18	0	N
pastel	En xeral úsase para facer sándwichs, lambetadas, galletas, pasteis.	8	pastel	As receitas tradicionais incluem asado, cazuela, empanadas, humitas, pastel de choclo, pastel de papas, curanto e sopaipillas.	8	0	N
peor	ela foi acusada de cousas peores que enganar e mentir.	5	pior	Apesar dos esforços dos médicos, a rainha tornou-se progressivamente pior por causa dum tumor debaixo do braço.	9	1	A
perspectiva	as súas perspectivas como escritor son excelentes.	2	perspectiva	Com essa severa limitação, as perspectivas de futuro profissional de Mozart na cidade se tornaram reduzidas.	5	1	N
pintura	a pintura de casa era a única arte que coñecía.	1	pintura	As aplicações modernas das tintas a óleo, mais comuns, para além da sua continuada utilização em pintura artística, são no acabamento e protecção da Madeira, na pintura de casas e edifícios, e em navios e barcaças.	16	1	N
pipa	Non presentará ningunha denuncia tras a pipa de a paz.	6	pipa	Desprezava a opinião pública e parece ter vivido em uma pipa ou barril.	10	0	N
político	A súa carreira política estaba lanzada.	3	político	Nixon, no entanto, acreditava que tal ação destruiria sua carreira política.	10	1	N/A
presente	Axiña viñeron os alfabetos, e aínda así, a imaxe estaba presente.	10	presente	Isso porque, segundo ela, sua mãe teria-lhe ensinado desde cedo que sua virgindade seria um presente especial que poderia entregar a seu marido.	15	0	N/A
presumido	Que presumida era.	1	presumido	Tanto é assim que a Constituição menciona um fato gerador presumido, a ser realizado pelo substituído.	10	0	A
presunto	As louras cansánronse de protagonizar chistes pola súa presunta falta de intelixencia.	8	presunto	Não podemos esquecer os enchidos, como as alheiras, o salpicão e presunto.	11	0	N/A
principal	Esta é a principal razón que moveu á Executiva nacionalista a decantarse por esta opción.	3	principal	Além de isso a gordura é a principal fonte de ácidos graxos, muito importante na dieta.	7	1	A
pronto	Nas últimas eleicións asegurábase que pronto estaría ao cen por cen de funcionamento.	5	pronto	Ao final da etapa de geometria, todos os elementos que compõem a imagem estão prontos.	14	0	A
rabia	a súa cara volveuse vermella de rabia.	6	raiva	Medo, raiva e ódio são fortes paixões que levarão a perder o foco e achar atraentes os prazeres fáceis de o lado negro.	1	1	N
real	Por moito que fagan e que saquen todo, a relación de Arxentina con Galicia é real.	15	real	Os preços dos arquivos seriam cobrados em reais.	7	0	N/A
reformado	Se ti colles os últimos novos estatutos reformados, verás que presentan igualdades.	7	reformado	Na corte as tendências se equilibram entre os tolerantes e os intransigentes, no que diz respeito aos reformados.	17	0	N/A
responsábel	Da eiva, desde logo, non son responsábeis os autores galegos que se deixan traducir ao español.	6	responsável	O capitão é responsável pela segurança da nave.	3	1	A
romance	De fondo da trama, os protagonistas viven tamén un romance.	9	romance	Temas populares eram a representação de eventos históricos, civis e militares, cenas inspiradas na poesia trovadoresca, nos romances de cavalaria, na tradição do amor cortês.	17	0	N
roxo	Despois da guerra, os roxos convertéronse en lixo.	4	roxo	A região possui solo argiloso roxo distrófico.	5	0	A
saco	Entón cambia o saco de durmir por as sabas limpas dun hotel e saca bo partido da auga quente.	3	saco	A maioria dos resíduos são acondicionados em sacos plásticos e permanecem na lixeira até o momento da coleta que inicia às cinco da manhã.	7	0	N
salsa	Cando as gambas comecen a coller  unha cor dorada, engadir a salsa de soia ou de peixe.	12	salsa	No dia seguinte junta-se a cebola, azeite e salsa e leva-se a o lume a cozer.	8	0	N
simple	un estilo de cabelo simple.	4	simples	Na Idade Média nasceram as representações imaginárias, nas quais os caninos figuravam nas casas como simples adornos.	16	1	A
sobrenome	De feito a ti puxéronche ese sobrenome por ser como eres pensando sempre en ti.	6	sobrenome	Muitos de esses apelativos acabaram-se fixando como sobrenomes.	7	0	N
social	as formigas son insectos sociais.	4	social	Existe discussão se as espécies do gênero eram animais sociais.	9	1	A
suceso	Menos lineal na narración, a obra céntrase no anecdótico e ás veces nen sequera pretende resultar divertido, senón simplemente reflectir algún suceso cotián.	21	sucesso	No final, o movimento acabou sem obter sucesso após a chegada das tropas imperiais, que dominaram a revolta.	7	0	N
superficial	o informe era tan superficial que non daba unha verdadeira imaxe do problema.	4	superficial	As ilhas e os recifes constituem-se acidentes geográficos marcantes da paisagem superficial.	11	1	A
taller	A mostra estará acompañada de talleres, proxeccións e acceso a o arquivo fotográfico así como outras dúas exposicións temporais monográficas que afondarán en o legado de o escritor.	5	talher	O ato de se alimentar torna-se mais lento e os movimentos simultâneos, tais como, aqueles necessários para manusear os talheres, mostram se difíceis.	19	0	N
tenda	Alcampo fora eliminando progresivamente o galego das súas tendas e folletos.	6	tenda	A jornada foi realizada montada a cavalo e por carretas, e a a noite o imperador dormia em tenda de campanha.	18	0	N
triste	tivo un momento triste na escola.	3	triste	Ele parece tão triste.	3	1	A
unha	O martes unha sala contigua ao almacén foi alagada pola auga.	2	unha	Na base da unha ou do pelo há células que se multiplicam constantemente, empurrando as células mais velhas para cima.	3	0	N/ART
vaso	Pero agora vexamos o vaso medio cheo.	4	vaso	Os cactos, cultivados no mundo inteiro, são uma visão familiar em vasos ou em jardins decorativos dos climas mais quentes.	11	0	N
xantar	Tras a pausa para o xantar, deberán continuar con as gravacións ata á hora de a cea.	5	jantar	No momento, o moderador do debate interrompeu as discussões alegando o horário de jantar.	13	0	V
xustificar	¿Imaxinan o entrenador do equipo perdedor xustificar o resultado decindo que ganariamos se os partidos durasen 45 minutos ?	6	justificar	Por definição, não há lugar para as religiões dentro de a ciência, embora uma religião possa utilizar-se de conhecimento científico para justificar suas premissas.	21	1	V
paralizar	a burocracia paraliza toda a operación.	2	Paralisar	A crise paralisou a campanha.	4	1	V
Tentar	a policía tentou deter o ladrón.	2	Tentar	Ela sempre tenta fazer bem no mundo.	2	1	V
grao	Foi acusado de asasinato en primeiro grao.	6	Grau	Uma queimadura de segundo grau.	4	1	N
investigar	o fiscal do distrito investigou informes de posibles irregularidades.	4	investigar	Investigam o desaparecimento da velha rica	0	1	V
mental	pasa por un terrible estado mental.	5	mental	Imagens mentais dos tempos felizes.	1	1	A
alternativa	Temos outras alternativas para a viaxe?	2	alternativa	Não há outra alternativa.	3	1	N
saber	Quero saber quen gañou o partido.	1	Saber	Sei que ele mentiu para ganhar.	0	1	V
voto	Só se permite un voto por familia.	4	Voto	Havia apenas dois votos a favor da proposta.	3	1	N
Libre	Só teño libre ao mediodía.	2	Livre	É de escolha livre.	3	1	A
triste	Despois do acontecido caeron nun silencio triste.	6	Triste	Ela parece tão triste.	3	1	A
Presente	O asasino está presente nesta sala.	3	Presente	Nós fomos presentes na criação do grupo.	2	1	A
Compoñente	o compoñente fonolóxico da linguaxe.	1	componente	O componente menor é difícil de alcançar	1	1	A
Último	O último día do mes de febreiro.	1	Último	A última vez que vi Paris	1	1	A
