W1	C1	P1	W2	C2	P2	R	POS
bilhete	Estocolmo tem um sistema municipal comum de bilhetes, que permite uma fácil viagem entre os diferentes tipos de transporte.	7	billete	La forma de los billetes era muy parecida a la de los dólares estadounidenses.	4	0	N
bilheteira	Este filme também foi um sucesso de bilheteira e teve críticas positivas.	7	billetera	También encontraron una identificación de Grandes Ligas en su billetera.	9	0	N
bocado	Só que já é um bocado comprido.	5	bocado	Pueden sobrevivir largos períodos sin probar bocado.	6	0	N
bola	Caso a bola caia, é ponto do time adversário.	2	bola	Un locutor o cantor va sacando bolas de el bombo, cantando los números en voz alta.	6	0	N
bolso	Os relógios de bolso eram símbolo da alta aristocracia.	3	bolso	Se consolidó también como diseñadora de bolsos, perfumes, sombreros y joyas.	6	0	N
bote	O navio afunda e os sobreviventes escapam em botes salva-vidas.	8	bote	Los botes de farmacia estaban decorados con relieves y tenían un pequeño estrechamiento en el centro.	1	0	N
brincar	As crianças brincavam e se divertiam enquanto as mulheres lavavam roupas.	2	brincar	Entonces, con las lágrimas corriéndole por las mejillas, brincó hacia la libertad como un ciervo asustado.	8	0	V
brinco	Podiam ser diademas, colares, brincos, pulseiras, anéis e cintos.	5	brinco	Alejandro giró la cabeza del caballo hacia el sol, cegándole y subiéndose de un solo brinco al caballo.	17	0	N
cada	Para as diferenças construtivas, consulte os artigos de cada variedade de guitarra.	8	cada	Cada uno de los distritos municipales está administrado por un concejal.	0	1	C
cadeira	A cadeira de presidente deixou de estar vaga após uma decisão do Supremo Tribunal Federal.	1	cadera	A la artrosis de las caderas se le llama coxartrosis.	5	0	N
caixão	Os cadáveres eram postos em caixões de madeira rodeados por objetos funerários.	5	cajón	Y tocó el cajón.	3	0	N
calhar	Se calhar não é tecnicamente possível colocar um aviso em todas as páginas de edição.	1	callar	En este caso, decir la verdad equivale a cooperar, a callarse.	10	0	V
camada	Para o funcionamento da Internet existem três camadas de protocolos.	7	camada	Nacen entre cuatro y seis lobeznos por camada.	7	0	N
câmara	A Câmara Municipal é composta, para além de o presidente, por nove vereadores.	1	cámara	En una cámara oscura se deja entrar un haz de luz por una rendija estrecha.	2	0	N
camarote	A sala tem capacidade para espectadores e 22 camarotes.	8	camarote	A proa, se ubicaban los últimos camarotes para los fogoneros.	6	0	N
carpete	As carpetes de seda podem ter mais de nós por metro quadrado.	1	carpeta	Se crea el archivo en la carpeta 3.	6	0	N
carro	Carros novos e usados não são caros.	0	carro	Ninguna mujer afgana tenía el derecho de ser transportada en el mismo carro que los extranjeros.	12	0	N
carruagem	Os comboios que circulavam na rede tinham apenas duas carruagens.	9	carruaje	La mayoría de los visitantes alquilan bicicletas o pasean en carruajes.	10	0	N
cartão	A companhia é conhecida pelos seus serviços de cartões de crédito.	8	cartón	En muchos países es obligatorio que el cartón se elabore total o parcialmente con materiales reciclados.	7	0	N
caçar	Outras populações preferem caçar focas.	3	casar	Dee se casó dos veces y tuvo ocho hijos.	2	0	V
cave	Por fim foram assassinados na cave da vivenda.	5	cava	España es el primer productor mundial de vino, cava y aceite de oliva.	8	0	N
selos	É frequente encontrar coleções com apenas selos de um país, assim como de qualquer lugar do mundo.	6	celos	Cervantes declara haber compuesto gran número de romances, entre los cuales estimaba especialmente uno sobre los celos.	16	0	N
cena	Os discos incluem documentários, entrevistas, cenas apagadas e inéditas, além de mais modificações.	5	cena	Se consumen tanto en el desayuno como la cena y también se venden como comida rápida.	8	0	N
cerca	A caspa ocorre em cerca de metade da população adulta.	4	cerca	Su perímetro fue cerrado por una cerca y se plantaron abundantes árboles frutales y de sombra.	6	0	N/R
chatear	Qual é que é o ponto de andar a chatear outras pessoas?	9	chatear	Se puede caminar alrededor, chatear con otros personajes, explorar y crear salas de conversación, descripciones e ítems.	4	0	N
coxa	Os membros inferiores são divididos em quadril, coxa, perna e pé.	7	coja	La NBA se quedaba de nuevo coja.	6	0	N/A
cola	Os atletas utilizam uma cola especial ( resina usada a partir do escalão de Juvenis ) nas mãos para ter um contato mais firme com a bola.	4	cola	Los perritos de cola negra y los mexicanos tienen una cola de punta negra.	3	0	N
conceito	De forma simplificada podemos identificar este fluxo no conceito de logística.	8	concepto	El concepto opuesto a radiosensibilidad, es radioresistencia.	1	1	N
convicto	Foi um liberal convicto.	3	convicto	Solo algunos convictos dejaron registros escritos de lo que sucedía allí.	2	0	A/N
comboio	Os comboios ligam toda a ilha.	1	convoy	Su conclusión fue que algunos convoyes grandes son más defendibles que muchos pequeños.	5	0	N
cooperação	A agricultura incentivou o comércio e a cooperação, resultando em sociedades complexas.	7	cooperación	También sugiere una cooperación de la ciencia moderna y la tradición indígena.	3	1	N
copo	A higiene com pratos, talheres e copos sempre foi constante.	6	copo	Existen dos explicaciones posibles ampliamente conocidas sobre la simetría de los copos de nieve.	11	0	N
corrida	A ciclovia é muito utilizada para prática de corrida e caminhada dos campo bonenses.	8	corrida	Las reacciones a las corridas de toros son variadas.	4	0	N
corrente	As correntes contínuas podem ser constantes ou pulsantes.	1	corriente	El indigenismo fue una de las corrientes más importantes en la pintura peruana.	6	0	N/A
criança	Muitas crianças sofrem casamentos forçados e a violência doméstica é generalizada.	1	crianza	La crianza de ganado era óptima por las condiciones de el suelo.	1	0	N/A
quarto	Em agosto o Barcelona conquistou seu quarto título no ano.	6	cuarto	Mucho material que no vio la luz en su momento fue grabado entre el lanzamiento del tercer álbum y el del cuarto.	21	1	N/IND
coelho	Existe também uma variante de este prato preparada com coelho e caracóis.	9	cuello	La cabeza es ancha, triangular y bien diferenciada del cuello.	9	0	N
cuidado	Este é um reagente para ser usado com cuidado, usando luvas e óculos de segurança.	8	cuidado	Hay que tener cuidado con las dermatitis, alergias o eczemas en la piel.	3	1	N
culturais	Eventos como o carnaval e as festas juninas, além dos grupos de dança, folclore, gastronomia, música e teatro locais, também se fazem presentes como atrativos culturais.	25	culturales	Las diferencias culturales no están enmarcadas dentro de las fronteras nacionales.	2	1	A
comprido	Tem um pescoço comprido que termina numa cabeça afilada e bico longo.	3	cumplido	En muchos hogares se matan cerdos y se convive por igual entre ricos y pobres, como un cumplido, ya que en la muerte no hay distinciones.	17	0	A
cumprimentar	Presidente e vice devem seguir para o parlatório e cumprimentar o povo.	9	cumplimentar	Fue probablemente, con la intención de cumplimentar a uno de los amigos nobles de Verrazzano.	6	0	V
demasiado	A verdade era demasiado difícil de aceitar.	3	demasiado	Es demasiado tarde para intentar una operación.	1	1	R
dependente	O país desenvolveu seu programa nuclear sem ser excessivamente dependente de tecnologia estrangeira.	9	dependiente	Los primeros comercios de comestibles fueron tiendas con mostrador, en las cuales los compradores pedían al dependiente lo que querían, y este lo buscaba para el comprador.	16	0	N/A
direito	O direito privado inclui, na lei, nomeadamente o direito penal e civil.	1	derecho	En derecho penal se afronta un reto en cuanto la sanción y clasificación de los delitos, ya que el delito se define como una conducta que es sancionada por las leyes de defensa social.	1	1	N
desejável	É considerado como um reino de nascimento desejável, mas ao mesmo tempo difícil.	7	desechable	En caso de bebidas, se ofrece una pequeña cantidad en vaso desechable.	11	0	A
despido	Sua imagem mágica é uma mulher bonita e despida.	8	despido	Se realizaron miles de despidos en la factoría.	4	0	A
dezembro	Em dezembro é comemorado o dia de Nossa Senhora da Conceição, padroeira do município.	1	diciembre	Son datileras y es en diciembre cuando dan su fruto.	5	1	N
diferente	Outro conceito apresentado é utilizar pessoas e organizações diferentes para a implementação e para a verificação.	8	diferente	Las jirafas se ven afectadas por diferentes parásitos.	6	1	A
direção	São rios pequenos que deságuam em diversas direções abrangendo dunas e praias.	7	dirección	Su dirección es 8687 N. Central Expressway, Dallas Texas 75225.	1	0	N
direção	Hoje é uma instituição concebida para o ensino de alunos sob a direção de professores.	12	dirección	Para tener un sitio web es necesario tener un dominio, una dirección de Internet.	11	0	N
desenhar	Sem tecnologia, artistas desenham imagens ópticas à mão.	3	diseñar	Para conseguir un equilibrio entre estos factores se han llegado a diseñar parches resonadores perforados.	11	0	V
doce	É doce e a sua fermentação por leveduras é muito utilizada comercialmente.	1	doce	Dieciocho regentes son designados por el gobernador para un mandato de doce años.	11	0	N
eleitos	Eles são eleitos pelo voto popular a partir de círculos pronominais para um mandato de quatro anos.	2	elegidos	Otros tres oficiales también son elegidos por la población para mandados de cuatro años de duración.	5	1	A
embutido	Aglomerados embutidos são aglomerados estelares que estão total ou parcialmente encaixados em poeira ou gás interestelar.	1	embutido	Hay que destacar sus embutidos, sus notables quesos, la miel y los licores.	4	0	N
empurrar	O vento empurra a vela sempre segundo um ângulo perpendicular ao plano que ela define.	2	empujar	Esta escoba tiene más anchura para empujar mejor la suciedad.	6	1	V
encerrar	Os tribunais ainda não encerraram esta questão.	4	encerrar	Su padre lo reprendió severamente, tanto que lo encadenó y lo encerró en un calabozo.	11	0	V
encontrar	Os usuários encontraram problemas na aplicação durante os testes.	2	encontrar	Cuando la búsqueda no encuentra el artículo, haz clic en el enlace rojo.	4	1	V
encosta	Os fragmentos de lava combinam se para formar rios de lava que escorrem pela encosta.	14	encuesta	Todos los animales representados en las encuestas se encuentran en las diferentes provincias andaluzas.	6	0	N
eremita	A segunda propunha que os eremitas estabelecessem vínculos com um mosteiro.	5	ermita	Ya en la ermita se procede a una ofrenda floral.	3	0	N
escova	Porém, ainda é bastante comum a utilização de a escova manual.	9	escoba	Otras teorías mencionan que la escoba pudo haber sido utilizada para administrar se determinadas drogas.	5	0	N
escritório	Atualmente a zona é ocupada predominantemente por lojas e escritórios com poucas moradias.	7	escritorio	Su padre era dueño de una tienda de venta de escritorios y tenía tres hermanos.	10	0	N
esforços	Esforços também foram tomados com algas geneticamente modificadas num biorreator.	0	esfuerzos	La cinta relata la tragedia de la atrapada tripulación de un sumergible que se hunde sin remedio y sus desesperados esfuerzos por sobrevivir.	20	1	N
espantoso	As peças shakespearianas são peculiares, complexas, misteriosas e com um fundo psicológico espantoso.	12	espantoso	En 1508 se padeció una espantosa inundación.	5	0	A
espécie	Ainda existem em Madagascar mais de quarenta espécies de primatas.	7	especia	Los etruscos, que empezaron a familiarizarse con este aceite gracias al comercio con los griegos, le añadieron hierbas y especias.	19	0	N
Estados	Os Estados Unidos não exigem vistos de saída.	1	Estados	La Copa América volvió a Estados Unidos 15 años después.	5	1	N
esperto	Mas Filipe era esperto demais.	3	experto	Es un experto impresor, dibujante, pintor, escultor y ceramista.	2	0	A
exploração	Esta localidade serviu de apoio para a exploração das minas de ouro.	7	exploración	El diagnóstico viene dado por la clínica, la exploración física y las pruebas de imagen.	8	0	N
explorar	Alguns autores exploram o tema da teoria dos astronautas antigos.	2	explotar	Se explotan canteras de yeso, caolín y arcillas.	1	0	V
estranhar	Por esta razão, não é de estranhar que muitas sejam as receitas conventuais aqui existentes.	6	extrañar	Se extraña la pesca deportiva.	1	0	V
fevereiro	O período chuvoso começa em fevereiro e termina em outubro.	5	febrero	Florecen en enero y febrero en su hábitat.	4	1	N
fechar	A equipe de selamento fechou a escotilha e a cabine foi purgada e pressurizada.	4	fechar	Incluye principales acontecimientos que se fecharon según sus cálculos.	6	0	V
firma	Foi uma aliança até então inédita entre uma firma americana e outra japonesa.	8	firma	Con la firma del armisticio la Franja quedó ocupada y administrada por Egipto.	2	0	N
fortalecimento	O objetivo era modernizar o império, com ênfase primordial em o fortalecimento de as forças armadas.	11	fortalecimiento	Dieron a conocer que en el movimiento está inspirado en la razón ciudadana y que busca el fortalecimiento de el partido.	17	1	N
frente	Outro fosso foi criado em frente da nova muralha.	5	frente	De todas formas, el reino se fortaleció frente a sus oponentes.	7	0	N
força	Em todos os setores que atacavam, os soviéticos possuíam força avassaladora.	9	fuerza	Luego midió la fuerza entre ellas observando el ángulo que giraba la barra.	3	1	N
gajo	Os gajos que vivem lá têm todos a mania de falar castelhano.	1	gajo	Se propaga por semillas, esquejes y por gajos.	7	0	N
Governo	Como solução apontada está o esforço em conjunto entre a sociedade, governos locais e empresas.	11	Gobierno	Había un gran descontento con el gobierno estatal entre la población.	6	1	N
grau	O grau de resistência, elasticidade e a cor de o pelo dependem de sua estrutura.	1	grado	Dicha mecánica suele ser simple en cuanto a reglamento, aunque puede permitir un alto grado de complejidad táctica o estratégica.	14	1	N
grande	Grandes teatros e eventos são alguns de os atrativos de essa cidade.	0	grande	La primera fase se desarrolló sin grandes sorpresas.	6	1	A
graxa	Entretanto, graxas e óleos não se dissolvem em água.	1	grasa	Las personas que no pueden absorber grasas suelen tener una diarrea crónica.	6	0	N
grifo	Os grifos eram as criaturas consagradas a Apolo, segundo a mitologia grega.	1	grifo	El agua del grifo no es apta para consumo humano.	3	0	N
guarda-costas	Três guarda-costas correram para o lado de o rei.	1	guardacostas	Mónaco no dispone de ejército propio, pero tiene un pequeño grupo de guardacostas.	12	0	N
alagar	As chuvas alagam a área com frequência, e por isso os proprietários foram desapropriados.”	2	halagar	El poeta griego Píndaro empleó etimologías creativas para halagar a sus mecenas.	8	0	V
olho	Como não têm pálpebras, seus olhos ficam sempre abertos.	5	hoyo	Se construían sobre un hoyo en el suelo de forma similar a una letrina.	4	0	N
ícone	Fez tanto sucesso que a sua imagem se volveu um ícone que perdurou no tempo.	10	icono	Estos papeles, entre otros, lo convirtieron en un icono cultural de masculinidad.	8	1	N
icterícia	Em casos graves pode causar icterícia, convulsões, coma ou morte.	5	ictericia	La mayoría de los casos de infección aguda no están asociados con la ictericia.	13	1	N
ideal	As águas calmas das lagoas são ideais para insetos e outros invertebrados aquáticos.	6	ideal	El clima húmedo la hizo ideal en el Reino Unido.	5	1	A
idealista	Não há níveis de realidade como concebiam os idealistas.	8	idealista	Tales ideas más que empíricas responden a un sentido idealista.	9	1	A
idêntico	Os tetrarcas apareciam idênticos em todos retratos oficiais.	3	idéntico	También se ha hecho bastante popular la prensa gratuita que suele distribuirse con idéntico patrón.	13	1	A
idiossincrasia	Estas idiossincrasias foram removidas de versões mais recentes da linguagem.	1	idiosincrasia	En gran parte por la idiosincrasia del pueblo navarro.	5	1	A
igreja	Os templos eram, às vezes convertidos em igrejas ou abandonados no deserto.	7	iglesia	La iglesia se encuentra como el castillo dentro de el recinto amurallado.	1	1	N
igualdade	As novas teorias exigem então a igualdade real e não apenas a ideal.	6	igualdad	La categoría femenina tuvo mayor igualdad.	5	1	N
iguana	Iguanas podem ser criados em terrário tropical úmido, por habitar florestas tropicais.	0	iguana	Aquí habitan focas peleteras, iguanas marinas y tortugas verdes.	4	1	N
ilusão	Mas a ilusão não demorou a desaparecer.	2	ilusión	La ilusión era la de un sistema mucho más rápido.	1	1	N
ilusão	O que vemos é sempre, em certa medida, uma ilusão.	9	ilusión	Esta tradición mantiene viva la ilusión infantil, algo perdida en nuestros tiempos.	5	0	N
imagem	É a união do texto com a imagem.	7	imagen	No se admitirán iconos, imágenes ni otros recursos gráficos.	4	1	N
impacto	Construção equilibrada, sem impacto ambiental, onde os edifícios de muitos pisos não têm lugar.	3	impacto	Poco a poco, el impacto de las actividades humanas comenzó a dañar estas poblaciones frágiles.	4	1	A
ímpar	Existe infinitos números defectivos pares e números defectivos ímpares.	8	impar	Las elecciones se realizan el tercer sábado de el mes de octubre de los años impares.	15	1	A
impecável	É cuidadosa com os afazeres domésticos, deixando a casa sempre impecável.	10	impecable	El césped, los árboles y las flores se mantienen impecables.	9	1	A
impedir	Identificar os estágios iniciais de malária pode impedir que a doença se torne fatal.	7	impedir	Puede generar hipotiroidismo al impedir la entrada del yodo a la hormona tiroidea.	4	1	V
imperativo	O imperativo é indeterminado em tempo.	1	imperativo	Los verbos pueden conjugarse en indicativo, subjuntivo, condicional e imperativo.	9	1	A
imperial	Em ambas, o exército imperial foi derrotado.	4	imperial	Estaba dedicado a las actividades gimnásticas y se construyó en época imperial.	11	1	A
imperialismo	Em suas pesquisas especializou-se na análise do populismo e do imperialismo.	10	imperialismo	La prensa de ambos países dio ánimos al imperialismo más apasionado.	8	1	A
império	Era um império constituído por um conglomerado de territórios herdados, anexados ou conquistados.	2	imperio	Los siguientes factores fueron determinantes en la conquista del imperio incaico.	9	1	A
impessoal	A propriedade torna se muito impessoal.	5	impersonal	Lo que les fuerza a trabajar es el poder impersonal de la economía.	9	1	A
implacável	Outras menções relacionando à guerra lhe associam um caráter implacável.	9	implacable	Llevó a cabo una represión implacable contra sus oponentes políticos.	5	1	A
implantar	Já denominados como normandos, esses implantaram o sistema feudal nos países que conquistavam.	5	implantar	Se implanta un sistema colonial.	1	1	V
implante	Esse complexo é aparelhado para cirurgias, implantes, transplantes e medicina nuclear.	6	implante	Las cenizas de incineraciones humanas pueden contener restos de metales de empastes y otros implantes.	14	1	N
importação	Em alguns, tem-se tentado reduzir a importação, incentivando a industrialização de produtos básicos.	6	importación	Es frecuente que el valor de las importaciones supere el valor de las exportaciones.	7	1	N
impossibilidade	Entretanto outros consideram a imortalidade como impossibilidade de morrer.	6	imposibilidad	De ahí el carácter adictivo de su mecanismo mental y la imposibilidad de detenerse.	11	1	A
impossível	É praticamente impossível sofrer uma overdose de sálvia quando esta é usada normalmente.	2	imposible	Hoy es imposible dar un número concreto de víctimas.	2	1	A
imprensa	Foi uma celebração gigantesca que chamou a atenção da imprensa mundial.	9	imprenta	De esta forma la libertad de imprenta queda en control del ejecutivo.	6	0	N
imprimir	Existem impressoras a laser que imprimem colorido, além de a cor preta tradicional.	5	imprimir	La obra consta de 8 capítulos pero el octavo no se pudo imprimir por cuestiones financieras.	12	1	V
improvável	É improvável que isso tenha incomodado muito a sua consciência.	1	improbable	Esto sería algo extremadamente improbable.	4	1	A
impronunciável	Os nomes dos personagens são praticamente impronunciáveis.	6	impronunciable	El apellido de Spock, que nunca se ha mencionado en la serie, es impronunciable para los humanos.	13	1	A
impróprio	Isto foi feito para remover conteúdo considerado impróprio para crianças, como drogas e racismo.	7	impropio	Resultaría impropio o ridículo usar indistintamente ambas variantes.	1	1	A
improvisar	Como não há praias, improvisaram um píer.	4	improvisar	Allí improvisan una cama para dormir y recuperar fuerzas	1	1	V
impulsionar	O desenvolvimento impulsiona o emprego, o crescimento populacional e o baixo desemprego.	2	impulsar	Impulsó así el desarrollo del género ensayístico.	0	1	V
impulsivo	Este ordenou a sua libertação, repreendendo o seu irmão por ser impulsivo.	11	impulsivo	Era notablemente impulsivo, temperamental, poco fiable y grosero con quienes trabajaba.	2	1	A
impulso	rante o Renascimento a cidade viveu uma época de grande impulso arquitetônico e cultural.	10	impulso	A partir de entonces se dio un increíble impulso a la colonización.	8	1	N
impureza	Traços de impurezas de ferro e alumínio estão invariavelmente presentes.	2	impureza	Su función es proteger la zona crítica de la soldadura de oxidaciones e impurezas exteriores.	13	1	N
impuro	Comum em arenitos e folhelhos, assim como em margas e calcários impuros.	11	impuro	Mosander descubrió el elemento lantano en el nitrato de cerio impuro.	10	1	A
inacessível	Eles, avisados, estavam escondidos nos montes vizinhos, inacessíveis e desconhecidos.	7	inaccesible	Semejante a una divinidad casi inaccesible.	5	1	A
inaceitável	Para um samurai, a perda da honra era inaceitável.	8	inaceptable	Cualquier mujer que rompiera este código de honor era deshonrosa e inaceptable.	11	1	A
inadequado	Alguns escritores consideram esta definição inadequada.	5	inadecuado	Por el contrario, los factores de riesgo psicológico incluyen fumar, consumo excesivo de alcohol, hostilidad, estrés en el trabajo y funcionamiento sexual inadecuado.	22	1	A
inadmissível	Fazeres o que fizeste é, simplesmente, inadmissível.	6	inadmisible	También defendió la separación amistosa de republicanos y socialistas y consideró inadmisible la lucha de clases, aunque aceptando que era necesario hacer reformas sociales.	11	1	A
incalculável	Pode aumentar sua força a níveis incalculáveis, e é quase indestrutível.	6	incalculable	Uno a uno van cayendo los caballeros ante el número incalculable de moros que les acosan.	10	1	A
incansável	Foi um investigador incansável.	3	incansable	Su carrera había resultado mucho más exitosa de lo esperado, gracias a su incansable trabajo.	13	1	A
incapaz	Ele foi incapaz de voltar no ano seguinte como planeado.	2	incapaz	Él no llevaba sus lentes y fue incapaz de impactar a los tiradores.	7	1	A
incentivo	Ainda há programas de incentivo à prática de esportes.	4	incentivo	Eso es, creo yo, uno de los mayores incentivos que tienen para participar.	8	1	N
incesto	Ana também foi presa, acusada de adultério e incesto.	8	incesto	Fue acusado por sus adversarios de adulterio e incesto.	8	1	N
incidente	Um incidente filmado envolvendo um rebelde desconhecido foi visto em todo o mundo.	1	incidente	La prensa se les echó encima después de estos incidentes.	9	1	N
incenso	Os cristãos adotaram cedo o uso do incenso.	7	incienso	Es común ofrecer velas, incienso, flores y otros objetos a estos altares.	4	1	N
incerto	O número de mortos foi incerto.	5	incierto	Sin embargo, estos hechos son inciertos.	5	1	A
incisão	Várias outras incisões no abdômen foram causadas pela mesma faca.	2	incisión	Las incisiones, a menudo combinadas, buscaban efectos simétricos.	1	1	A
inclinação	É formada por três arcos de meio ponto, com dupla inclinação.	10	inclinación	Muchos de los planetas extrasolares existentes en otros sistemas solares poseen altos valores de inclinación orbital.	14	1	A
incluir	Sua turnê era extravagante, onde incluía como tema o cabaré e circo.	5	incluir	Las especies incluyen principalmente árboles y arbustos, con algunas trepadoras y herbáceas.	2	1	V
incomparável	Mesmo dentro da física, os métodos podem variar e serem incomparáveis.	10	incomparable	Tenía un talento incomparable para adaptar sus discursos a el carácter de sus clientes.	3	1	A
incompatível	Fortemente oxidante, é incompatível com a maioria dos produtos orgânicos.	3	incompatible	Esta dimensión restringida le parece en esencia incompatible con el ejercicio de la libertad auténtica.	7	1	A
incompetência	Esta invasão inicial foi compromissada por uma combinação de incompetência e tempestades severas.	9	incompetencia	Sus detractores le acusaron de incompetencia técnica, mientras el papa le daba su apoyo.	5	1	A
incompleto	Foi inaugurada incompleta, sem passarelas ou pintura externa.	2	incompleto	El descenso incompleto del testículo se llama criptorquidia.	2	1	A
incondicional	Representa o desejo de compartilhar incondicionalmente.	5	incondicional	Estas virtudes despiertan la lealtad más incondicional en sus siervos.	6	1	A
inconsistente	Isto acontece porque teorias inconsistentes provam tudo, incluindo sua consistência.	4	inconsistente	El problema más importante es la escritura deficiente e inconsistente.	9	1	A
incontável	Entre escravo e liberto, há incontáveis dissimilitudes.	5	incontable	Desde entonces, el vampiro, ha protagonizado incontables producciones cinematográficas.	6	1	A
incontinência	Pode também aparecer incontinência urinária.	3	incontinencia	Se denomina incontinencia urinaria al control pobre o ausente de la micción.	2	1	N
incorporar	Abordagens em economia do desenvolvimento frequentemente incorporam fatores políticos e sociais.	6	incorporar	Se tuvieron que incorporar muchas mecánicas nuevas para compensar.	3	1	V
incubação	O período de incubação é entre uma a três semanas, geralmente duas.	3	incubación	El período de incubación de los huevos es de seis a ocho días.	3	1	N
incubadora	Os ovos são mantidos em incubadoras.	5	incubadora	Después de ser tratados, vuelven a la incubadora principal.	7	1	N
