W1	C1	P1	W2	C2	P2	R	POS
rato	Come roedores pequenos, basicamente ratos, e algúns insectos grandes, e, en ocasións, paxaros pequenos.	4	rato	El riego debe ser una vez a la semana, se coloca la maceta en un plato y se llena el éste de agua, después de un rato hay que quitarlo, pues las raíces se pudrirán.	26	0	N
reparar	Coidar dos detalles pequenos, reparar nas sensacións de cada día.	4	reparar	Como resultado, las fibras musculares se vuelven más grandes y se reparan más rápido que las de una persona promedio.	11	0	V
roca	Furiosa por non ser convidada, profire un meigallo contra ela: en cumprindo dezaseis ano picará o dedo co fuso dunha roca e morrerá.	20	roca	El estudio de las rocas se denomina petrología.	4	0	N
seno	O asturiano sufriu discrepancias no seno do equipo.	5	seno	Otra manifestación frecuente es dolor en los senos.	7	0	N
solo	Aplicouse a normativa ambiental e de prevención de riscos laborais nas análises de solo.	13	solo	Pero al mismo tiempo le resulta difícil imaginarse solo de nuevo.	8	0	N/A
sono	Tes un sono moi profundo.	2	sueño	Ya tenía un objetivo y un nombre, expresaba una idea y un sueño.	12	0	N
toro	Toro de salmón conxelado.	0	toro	En la actualidad, las corridas de toros están prohibidas en muchos países.	6	0	N
xornal	Os xornais e as televisións pensan que pode facerse unha lectura política de todo isto.	1	jornal	El esclavo a jornal poseía derechos diferenciados respecto a otros tipos de esclavos.	3	0	N
xudía	Xudía, árabe e morisca.	0	judía	La cocina típica se basa en el trigo, el cordero y las judías.	12	0	N
xuro	Os xuros debedores das contas bancarias.	1	juro	Un diluvio, lo juro por Dios.	3	0	N
zorra	Esta raza necesita dunha dieta de boa calidade, con altos niveis de proteínas e graxa, especialmente se van ser usados para competicións de zorras.	23	zorra	Los depredadores de los polluelos y los huevos incluyen a la falsa coral, la serpiente corredora, la urraca azul, la ardilla zorra, la ardilla roja y la ardilla listada de el oriente.	21	0	N
Correcto	A decisión correcta.	2	Correcto	Dichas semillas maduras son prácticamente indispensables para una correcta identificación de los taxones .	8	0	A
Estudio	chamou lixeiramente á porta pechada do estudio	6	estudio	Han convertido el cuarto en un estudio.	6	1	N
diplomático	A declaración do diplomático foi decisiva.	3	diplomático	Destaca también el diplomático e historiador.	3	1	A
florecer	Florece na primavera e no verán .	0	florecer	Suelen florecer en la primavera .	4	1	V
curso	Bueno, eu son autodidacta, non fixen ningún cursiño de cociña .	7	Curso	Hoy se realizan cursos de pintura, decoración, escultura, escenografía y restauración.	3	1	N
coche	Para rescatar o coche do barranco polo que se precipitou, a Garda Civil solicitou o envío dun guindastre.	3	coche	Las compras importantes, como casas, coches y aparatos eléctricos, se pagan a plazos mensuales.	5	1	N
Bailar	Moitos adultos mófanse deles, xa que é unha cousa pouco habitual iso de bailar polas rúas de París .	13	bailar	Es un músculo potente, vital para caminar, correr y bailar .	9	1	V
Aire	Abride unha xanela e deixade entrar algo de aire.	8	aire	Voy a salir a tomar un poco el aire.	8	1	N
